company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
LoyaltyLion,"Jul 28, 2025 12.57 PM",save | hide,LoyaltyLion is offers software solutions to enhance: loyalty program provider that Ioyaltylion com London Ioyaltylion,ioyaltylion.com,51-200,Venture Capital,2012,,7.3,Series,Kennet Partners,"20 Farringdon Street; London; England EC4A 4AB, GB",~5% | 5% | ~2% | ~20% | -29% | -17% | 73% | 0%,,,"save | hide | LoyaltyLion | Jul 28, 2025 12.57 PM | LoyaltyLion is | offers software solutions to enhance: | loyalty program provider that | Ioyaltylion com | 51-200 | United Kingdom | (UK) | England | London | Ioyaltylion | Load contacts | ntacts | Venture Capital | 2012 | 7.3 | Feb | 2021 | Series | Kennet Partners | nla | Downing | eclc | nla | nla | nla | nla | nla | ~5% | 5% | ~2% | ~20% | -29% | -17% | 73% | 0% | 20 Farringdon Street; London; England EC4A 4AB, GB | nla | nla | nla | nla | nla"
Lucidchart,"Jul 28, 2025 12.57 PM",save | hide,Lucid Software Inc. is that offers web-based diagramming_ software company lucidchart com South Jordan lucidchart,lucidchart.com,"1,001-5,000",Venture Capital,2010,,228,Series,nla,"Feb 28, 2021",~21%,,,"save | hide | Lucidchart | Jul 28, 2025 12.57 PM | Lucid Software Inc. is | that offers | web-based diagramming_ | software company | lucidchart com | 1,001-5,000 | 1,229 | United States | (USA) | Utah | South Jordan | lucidchart | Load contacts | ntacts | Venture Capital | 2010 | nla | Feb 28, 2021 | Series | nla | nla | 500 Global | nla | nla | nla | 228 | nla | nla | nla | nfa | nla | nla | nla | nla | nla | ~21% | nla | nla | nla | nla | nla | nla"
Makersite,"Jul 28, 2025 12.57 PM",save | hide,Makersite is in product lifecycle intelligence and_ software company specializing Stuttgart makersitede,makersite.io,51-200,Venture Capital,2018,,,Series,Hitachi Ventures,"KonigstraBe 43b; Stuttgart; Baden-Wiirttemberg 70173, DE",13% | 32% | 64% | 154% | 431% | 963% | 963% | -20%,,,"save | hide | Makersite | Jul 28,2025 12.57 PM | Makersite is | in product | lifecycle intelligence and_ | software company specializing | makersite.io | 51-200 | Germany | Baden - | Wirttemberg | Stuttgart | makersitede | Load contacts | ntacts | Venture Capital | 2018 | Oct 17, 2022 | Series | Hitachi Ventures | nla | Hitachi Ventures | nla | nla | nla | nla | 13% | 32% | 64% | 154% | 431% | 963% | 963% | -20% | KonigstraBe 43b; Stuttgart; Baden-Wiirttemberg 70173, DE | nla | nla | nfa | nla | nfa"
Mappedin,"Jul 28, 2025 12.57 PM",save | hide,Mappedin Inc_ is a mapping software provider specializing in indoor mapping and navigatio_. mappedin com FI Canada Ontario Waterloo mappedin,mappedin.com,51-200,Private Equity,2011,,16.1,Series,Channel Equity Partners,"14 Erb St W; Waterloo, Ontario NZL 1S7, CA",~1% | 2% | ~1% | -7%6 | 28% | 48% | 86 %,,,"save | hide | Mappedin | Jul 28,2025 12.57 PM | Mappedin Inc_ is a mapping software provider | specializing in indoor mapping and navigatio_. | mappedin com | 51-200 | 95 | FI Canada | Ontario | Waterloo | mappedin | Load contacts | ntacts | Private Equity | 2011 | 16.1 | 8.6 | Feb 21, 2023 | Series | Channel Equity Partners | nla | Channel Equity Pa | nla | nla | nla | nla | ~1% | 2% | ~1% | -7%6 | 28% | 48% | 86 % | nla | 14 Erb St W; Waterloo, Ontario NZL 1S7, CA | nla | nla | nfa | nla | nfa"
MarketUP,"Jul 28, 2025 12.57 PM",save | hide,MarketUP is that offers comprehensive ERP solution_. business management platform marketup brasil,marketup.com,11-50,Venture Capital,2012,,9.5,,,"Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913,",8 % | 9% | ~15% | -15% | -18 % | -18% | -13%,,,"save | hide | MarketUP | Jul 28,2025 12.57 PM | MarketUP is | that offers | comprehensive ERP solution_. | business management platform | marketup.com | 11-50 | Brazil | Sao Paulo | Sao Paulo | marketup brasil | Load contacts | ntacts | Venture Capital | 2012 | 9.5 | 7.8 | Apr 1, 2019 | Series A | inovabra | nja | inovabra | nia | nia | nja | nja | 8 % | 9% | ~15% | -15% | nla | -18 % | -18% | -13% | nja | BR | Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913, | nla | nla | nfa | nla | nla"
mater,"Jul 28, 2025 12.57 PM",save | hide,m3ter is usage-based billing solutions for BZB_. software company specializing in London,mater.com,51-200,Private Equity,2020,,31.5,Series,Insight Partners,"London, GB",~5% | -7%6 | -7% | -16% | -16 % | 4% | 50% | 410%,,,"save | hide | mater | Jul 28, 2025 12.57 PM | m3ter is | usage-based billing solutions for BZB_. | software company specializing in | mater.com | 51-200 | United Kingdom | (UK) | England | London | mater | Load contacts | ntacts | Private Equity | 2020 | 31.5 | Apr 26, 2023 | Series | Insight Partners | nla | Notion Capital | nla | nla | nla | nla | ~5% | -7%6 | -7% | -16% | -16 % | 4% | 50% | 410% | nla | nla | London, GB | nla | nla | nla | nla | nla"
Meal Ticket,"Jul 28, 2025 12.57 PM",save | hide,Meal Ticket is a software company that provides specialized solutions for foodservi__. mealticket com Boise meal-ticket,mealticket.com,51-200,Venture Capital,2010,,,Series,Techstars,"1555 SHORELINE DRIVE; #150; BOISE, Idaho 83702,US","3% | 10% | 10% | 6% | 51% | 127% | ""156%",,,"save | hide | Meal Ticket | Jul 28,2025 12.57 PM | Meal Ticket is a software company that | provides specialized solutions for foodservi__. | mealticket com | 51-200 | United States | (USA) | Idaho | Boise | meal-ticket | Load contacts | ntacts | Venture Capital | 2010 | Jul 14,2015 | Series | Techstars | Corporate | Techstars | Trackmax Profit In | nja | nja | 3% | 10% | 10% | 6% | 51% | 127% | ""156% | nla | 1555 SHORELINE DRIVE; #150; BOISE, Idaho 83702,US | nla | nla | nla | nla | nfa"
melonn,"Jul 28, 2025 12.57 PM",save | hide,Melonn is = fulfillment services for logistics company specializing in ~commerce and:_ melonn com Colombia Antioquia Puerto Nare,melonn.com,51-200,Venture Capital,2020,,24.5,Series,Global Founders Capital AF,"Medellin; Antioquia 050022, CO",~5% | ~1% | 2% | 8% | 14% | 626% | 9%,,,"save | hide | melonn | Jul 28, 2025 12.57 PM | Melonn is = | fulfillment services for | logistics company specializing in | ~commerce and:_ | melonn com | 51-200 | 247 | Colombia | Antioquia | Puerto Nare | melonn | Load contacts | ntacts | Venture Capital | 2020 | 24.5 | Feb | 2022 | Series | Global Founders Capital AF | nla | Wollef | QED In | nla | nla | nla | 22 | nla | ~5% | ~1% | 2% | 8% | 14% | 626% | nla | 9% | Medellin; Antioquia 050022, CO | nla | nla | nla | nla | nla"
MI2107lz,"Jul 28, 2025 12.57 PM",hide,MtaIu)LX is a logistics technology company that = specializes providing _ corp logiless com giless,logiless.com,51-200,Venture Capital,2017,,10.9,Series,CommerceMedia Inc:,"0031, JP",16% | 31% | 61% | 162% | 320% | 320%,,,"hide | MI2107lz | Jul 28, 2025 12.57 PM | MtaIu)LX is a logistics technology | company that = | specializes | providing _ | corp logiless com | 51-200 | Japan | Tokyo | Shinagawa City | giless | Load contacts | ntacts | Venture Capital | 2017 | 10.9 | Feb 27, 2025 | Series | CommerceMedia Inc: | nja | 500 Global | nja | nla | nja | nja | 16% | 31% | 61% | 162% | 320% | 320% | nfa | nla | @GERE3-11-6; 0>JIZ+W-EIL 3F; RJIIE, RRn8 141- | 0031, JP | nla | nla | nla | nla | nla"
Mushiny Intelligence,"Jul 28, 2025 12.57 PM",save | hide,Mushiny is a robotics company specializing in intelligent logistics solutions: They provide . mushiny com mushiny- intelligence Fco ~Itd,topping-capital.co,201-500,Venture Capital,2016,,,Series,topping-capital com,"Suzhou Industry Park Xingpu Road #333; Suzhou, Jiangsu; CN",~1% | 33% | 3% | 6% | 54% | 192% | 310% | 446%,,,"save | hide | Mushiny Intelligence | Jul 28, 2025 12.57 PM | Mushiny is a robotics company specializing in | intelligent logistics solutions: They | provide . | mushiny com | 201-500 | China | Jiangsu | Suzhou | mushiny- | intelligence | Fco | ~Itd | Load contacts | ntacts | Venture Capital | 2016 | nla | Jul 13, 2022 | Series | topping-capital com | nla | topping-capital.co | nla | nla | nla | nla | ~1% | 33% | 3% | 6% | 54% | 192% | 310% | 446% | nfa | Suzhou Industry Park Xingpu Road #333; Suzhou, Jiangsu; CN | nla | nla | nla | nfa | nfa"
MyTime,"Jul 28, 2025 12.57 PM",save,"scheduling, point of sale, and software company that provides marketing_ mytime com Los Angeles mytime",mytime.com,11-50,Venture Capital,2013,,19.5,,,"5670 Wilshire Blvd; PH4; Los Angeles, California 90036,US",1% | 7% | 10% | 31% | 134% | 155% | 217%,,,"save | Khide | MyTime | Jul 28, 2025 12.57 PM | scheduling, point of sale, and | MyTime | software company that provides | marketing_ | mytime com | 11-50 | 143 | United States | (USA) | California | Los Angeles | mytime | Load contacts | ntacts | Venture Capital | 2013 | 19.5 | Apr 19,2017 | Series € | Upfront Ventures | nja | 500 | Global | nja | nla | nja | nla | 1% | 7% | 10% | 31% | 134% | 155% | 217% | nja | 5670 Wilshire Blvd; PH4; Los Angeles, California 90036,US | nja | nja | nja | nja | nla"
Naologic,"Jul 28, 2025 12.57 PM",save,Naologic is Naologic / Al-enabled no-code platform for Al-enabled no-code platform software company that offers an software company that offers for building_ building_. naologic com San Francisco lologic Iologic,al-enabled.no,51-200,Venture Capital,2017,,2023,Series,nja,"San Francisco, California 94103, US",-9% | 9% | -16% | -16 % | 11% | 42% | 233% | 233%,,,"save | (hide | Chide | Naologic | Jul 28, 2025 12.57 PM | Naologic is | Naologic / | Al-enabled no-code platform for | Al-enabled no-code platform | software company that offers an | software company that offers | for | building_ | building_. | naologic com | 51-200 | United States | (USA) | California | San Francisco | lologic | Iologic | Load contacts | ntacts | Venture Capital | 2017 | nla | nja | Jan | 2023 | Series | nja | nla | nla | nja | hivehat_ch | hivehat ch | nla | nja | nla | nja | nla | nja | nla | -9% | 9% | -16% | -16 % | ~nla | nla | nja | 11% | 42% | 233% | 233% | ~nla | nja | San Francisco, California 94103, US | nla | nja | nla | nja | nfa | nja | nla | nja"
Napta,"Jul 28, 2025 12.57 PM",save | hide,Napta is a staffing solution provider that offers comprehensive platform for staffing and_. pickyourskills,napta.io,51-200,Venture Capital,2016,,9.9,Series,Kerala Ventures,"63, Rue Saint-Sabin; Paris, ile-de-France 75011, FR",1% | ~4% | 4% | ~2% | 12% | 0%,,,"save | hide | Napta | Jul 28, 2025 12.57 PM | Napta is a staffing solution provider that offers | comprehensive platform for staffing and_. | napta.io | 51-200 | France | ile-De-France | Paris | pickyourskills | Load contacts | ntacts | Venture Capital | 2016 | 9.9 | 8.8 | Mar 21, 2022 | Series | Kerala Ventures | nla | Kerala Ventures | nla | nla | nla | nla | 1% | ~4% | 4% | ~2% | 12% | nla | nla | nla | 0% | 63, Rue Saint-Sabin; Paris, ile-de-France 75011, FR | nla | nla | nla | nla | nla"
Nexite,"Jul 28, 2025 12.57 PM",hide,specializing in loT and Al solutions for fashio_ retail technology company Aviv-Yafo nexiteretail,nexite.io,51-200,Venture Capital,2017,,100,Series,Battery Ventures,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",5 % | 10% | 12%,,,"hide | Nexite | Jul 28, 2025 12.57 PM | specializing in loT and Al solutions for fashio_ | Nexite | retail technology company | nexite.io | 51-200 | Israel | Tel Aviv | Tel | Aviv-Yafo | nexiteretail | Load contacts | ntacts | Venture Capital | 2017 | 100 | May | 2022 | Series | Battery Ventures | nla | Saban Ventures | nla | nla | nja | nja | 5 % | 10% | 12% | nfa | nla | nla | nla | nla | 126 Igal Alon; Tel Aviv, Tel Aviv, IL | nla | nla | nla | nla | nla"
NextBillion.a,"Jul 28, 2025 12.57 PM",,specializing in logistics and route optimizati_ NextBillion.ai is a software company nextbillion.ai extbillion-ai,nextbillion.ai,51-200,Venture Capital,2020,,37.3,Series,Microsoft Accelerator,"Straits Vw; Marina South, Singapore 018978, SG",-10% | -10% | -16% | -23% | -13% | 23% | 97% | 25%,,,"ave | Khide | NextBillion.a | Jul 28, 2025 12.57 PM | specializing in logistics and route optimizati_ | NextBillion.ai is a software company | nextbillion.ai | 51-200 | Singapore | nla | Singapore | extbillion-ai | Load contacts | ntacts | Venture Capital | 2020 | 37.3 | Sep 21, 2022 | Series | Microsoft Accelerator | nja | Mirae Assets | nja | nla | nja | nla | -10% | -10% | -16% | -23% | -13% | 23% | 97% | 25% | Straits Vw; Marina South, Singapore 018978, SG | nla | nja | nja | nja | nja"
Nyshex,"Jul 28, 2025 12.57 PM",save,NYSHEX is a logistics technology company that provides digital infrastructure for global__. nyshex com nW-york-shipping- exchange-nyshex-,nyshex.com,51-200,Private Equity,2014,,68.9,,,"New York, NY 10004, US",33% | 3% | -13% | 435% | ~24% | -14%,,,"save | Khid | Nyshex | Jul 28, 2025 12.57 PM | NYSHEX is a logistics technology company | that provides digital infrastructure for global__. | nyshex com | 51-200 | United States | (USA) | New York | New York | nW-york-shipping- | exchange-nyshex- | Load contacts | ntacts | Private Equity | 2014 | 68.9 | nla | Nov 18, 2024 | Series C | Blumberg Capital | nla | tectonic vc | nla | nla | nla | nla | nla | 33% | 3% | -13% | 435% | ~24% | nla | nla | -14% | New York, NY 10004, US | nla | nla | nla | nla | nla"
Omnea,"Jul 28, 2025 12.57 PM",save | hide,that offers Omnea is a procurement automation provider suite of software solutions__. London oinnea,omnea.co,51-200,Venture Capital,2022,,20,Series,Accel,"London, GB","48% | 71% | 154% | 456% | ,800% | 13%",,,"save | hide | Omnea | Jul 28, 2025 12.57 PM | that offers | Omnea is a procurement automation provider | suite of software solutions__. | omnea.cO | 51-200 | United Kingdom | (UK) | England | London | oinnea | Load contacts | ntacts | Venture Capital | 2022 | 20 | Oct 13, 2024 | Series | Accel | nla | Point Nine | nla | nla | nla | nla | 48% | 71% | 154% | 456% | ,800% | nla | nla | 13% | London, GB | nla | nla | nla | nla | nla"
One Data,"Jul 28, 2025 12.57 PM",save,"provider that specializes in building,_ data management solutions e-data-it",onedata.ai,201-500,Venture Capital,2013,,44.9,Series,HV Capital,"PrinzregentenstraBe 50; Munich; Bavaria 80538, DE",~1% | ~2% | 2% | -10% | ~21% | 4%,,,"save | One Data | Jul 28, 2025 12.57 PM | provider that specializes in building,_ | One Data | data management solutions | onedata.ai | 201-500 | 200 | Germany | Bavaria | Munich | e-data-it | Load contacts | ntacts | Venture Capital | 2013 | 44.9 | 34.9 | Jul 15, 2024 | Series | HV Capital | nla | SALVIA GmbH | nla | nla | nla | 26 | nla | ~1% | ~2% | 2% | -10% | ~21% | nla | nla | nla | 4% | PrinzregentenstraBe 50; Munich; Bavaria 80538, DE | nla | nla | nla | nla"
Onebrief,"Jul 28, 2025 12.57 PM",save | hide,Onebrief is company that provides innovative tools for_ military planning software onebrief com Honolulu ollebrief,onebrief.com,51-200,Venture Capital,2019,,119.8,,,"3161 Ala Ilima St; Honolulu; Hawaii 96818,US","16 % | 46% | 129% | 506% | 1,005% | 2,250% | 3,660%",,,"save | hide | Onebrief | Jul 28,2025 12.57 PM | Onebrief is | company that provides innovative tools for_ | military planning software | onebrief com | 51-200 | 188 | United States | (USA) | Hawaii | Honolulu | ollebrief | Load contacts | ntacts | Venture Capital | 2019 | 119.8 | 23.6 | Jun 15, 2025 | Series C | Battery Ventures | nja | Insight Partners | nia | nia | nja | nja | 16 % | 46% | 129% | 506% | 1,005% | 2,250% | 3,660% | nla | 3161 Ala Ilima St; Honolulu; Hawaii 96818,US | nla | nla | nla | nla | nfa"
OneRail,"Jul 28, 2025 12.57 PM",save,last mile delivery solutions. They offer OneRail is = logistics company specializing in onerail com Orlando erail-finalmile,onerail.com,51-200,Venture Capital,2018,,109.5,,,"8427 Southpark Circle; 200; Orlando, Florida 32819, US",10% | 11% | 32% | 24% | 85 %,,,"save | OneRail | Jul 28, 2025 12.57 PM | last mile delivery solutions. They offer | OneRail is = | logistics company specializing in | onerail com | 51-200 | 189 | United States | (USA) | Florida | Orlando | erail-finalmile | Load contacts | ntacts | Venture Capital | 2018 | 109.5 | Nov 20, 2024 | Series C | Aliment Capital | Corporate | Trimble Ventures | Orderbot Software | nla | nla | 10% | 11% | 32% | 24% | 85 % | nla | nla | nla | 8427 Southpark Circle; 200; Orlando, Florida 32819, US | nla | nla | nla | nla"
ONES.com,"Jul 28, 2025 12.57 PM",save | hide,company that offers company that offers a comprehensive__ ONES.com is = software development compre ensive ones com ones.com San Jose ~srart-ones srnart-ones,ones.com,201-500,Venture Capital,2015,,109,,,"San Jose, California, US",~0% | -0% | 5% | 5 % | 4% | 4% | 108 % | 108%,,,"save | hide | ONES.com | Jul 28, 2025 12.57 PM | Jul 28,2025 12.57 PM | company that offers | company that offers a comprehensive__ | ONES.com is = | ONES.com | software development | compre | ensive | ones com | ones.com | 201-500 | 155 | United States | (USA) | California | San Jose | ~srart-ones | srnart-ones | Load contacts | ntacts | Venture Capital | 2015 | 109 | 50 | Sep 21,2021 | Sep 21, 2021 | Series C | Gic | nla | SoftBank Investme | nla | nla | nla | 26 | nla | ~0% | -0% | 5% | 5 % | 4% | 4% | nla | nla | nla | 108 % | 108% | San Jose, California, US | nla | nla | nla | nla | ~nla | nla"
Onfleet,"Jul 28, 2025 12.57 PM",save | hide,specializing in last mile delivery solutions T_ Onfleet is a logistics software provider onfleet com San Francisco ollfleet,onfleet.com,51-200,Private Equity,2015,,41.9,Series,Almanac,"717 California St; San Francisco, California 94108, US",5% | 2% | 7%/ | 7% | -12% | ~25% | 6% | 137% | -23%,,,"save | hide | Onfleet | Jul 28, 2025 12.57 PM | specializing in last mile delivery solutions T_ | Onfleet is a logistics software provider | onfleet com | 51-200 | United States | (USA) | California | San Francisco | ollfleet | Load contacts | ntacts | Private Equity | 2015 | 41.9 | UJun | 2022 | Series | Almanac | nla | Sgh | bossa ini | nla | nla | nla | nla | 5% | 2% | 7%/ | 7% | -12% | ~25% | 6% | 137% | -23% | 717 California St; San Francisco, California 94108, US | nla | nla | nla | nla | nla"
Opal,"Jul 28, 2025 12.57 PM",hide,provides marketing technology company that comprehensive platform for_. workwithopal com Portland opal-software,workwithopal.com,51-200,Venture Capital,2011,,22.6,Series,Accel,"1060 NW 9th Avenue; Portland, OR 97209, US",5 % | -1% | -0% | 1% | 3% | 2% | 11% | -27%,,,"hide | Opal | Jul 28, 2025 12.57 PM | provides | Opal | marketing technology company that | comprehensive platform for_. | workwithopal com | 51-200 | United States | (USA) | Oregon | Portland | opal-software | Load contacts | ntacts | Venture Capital | 2011 | 22.6 | 12.5 | Dec 12, 2016 | Series | Accel | Corporate | InterWest Partners | ATOMIZED (acquir | nja | nja | 5 % | -1% | -0% | 1% | 3% | 2% | 11% | -27% | 1060 NW 9th Avenue; Portland, OR 97209, US | nla | nla | nla | nla | nla"
Optera,"Jul 28, 2025 12.57 PM",save,company that provides solutions for. carbon management software opteraclimate com Boulder ~point380,opteraclimate.com,11-50,Venture Capital,2006,,25.7,Series,AngelList,"1215 Spruce St; 201; Boulder; Colorado 80302, US",-29% | -25% | -22% | -17% | 29% | 200% | 2%,,,"save | Khide | Optera | Jul 28, 2025 12.57 PM | company that provides solutions for. | Optera | carbon management software | opteraclimate com | 11-50 | United States | (USA) | Colorado | Boulder | ~point380 | Load contacts | ntacts | Venture Capital | 2006 | 25.7 | Sep 10, 2023 | Series | AngelList | nja | Stout Street Capit: | nja | nla | nja | nla | -29% | -25% | -22% | -17% | 29% | 200% | nja | 2% | 1215 Spruce St; 201; Boulder; Colorado 80302, US | nla | nla | nla | nla | nla"
Optilogic Inc.,"Jul 28, 2025 12.57 PM",hide,that Optilogic is offers advanced solutions for supply- supply chain software provider optilogic com Ann Arbor optilogic,optilogic.com,51-200,Venture Capital,2019,,53,Series,MK Capital |,"Main St; Ann Arbor; Michigan 48104, US","22% | 38 % | 67% | 159% | 284% | 746% | 3,075 % | 42%",,,"hide | Optilogic Inc. | Jul 28, 2025 12.57 PM | that | Optilogic is | offers advanced solutions for supply- | supply chain software provider | optilogic com | 51-200 | United States | (USA) | Michigan | Ann Arbor | optilogic | Load contacts | ntacts | Venture Capital | 2019 | 53 | Apr 7, 2025 | Series | MK Capital | | Corporate | MK Capital | | INSICHT Software | nla | nla | 22% | 38 % | 67% | 159% | 284% | 746% | 3,075 % | 42% | 309 | Main St; Ann Arbor; Michigan 48104, US | nfa | nfa | nfa | nla | ~nla"
OptimoRoute,"Jul 28, 2025 12.57 PM",save | hide,comoanv company that provides solutions for delivery _. that provides solutions for delivery_. Troute optimization software route optimization software optimoroute com Palo Alto optimo-route,optimoroute.com,51-200,Venture Capital,2012,,6.5,Series,Series A,"Palo Alto, US",3% | 3 % | 1% | 48% | 52% | 89% | 205% | 58 % | 58%,,,"save | (hide | hide | OptimoRoute | Jul 28, 2025 12.57 PM | OptimoRoute | comoanv | company that provides solutions for delivery _. | that provides solutions for delivery_. | Troute optimization software | route optimization software | optimoroute.com | optimoroute com | 51-200 | United States | (USA) | California | Palo Alto | optimo-route | Load contacts | ntacts | Venture Capital | 2012 | 6.5 | Feb | 2020 | Series | Series A | Congruent Ventures | nla | Prelude Ventures | nla | nla | nla | nla | 3% | 3 % | 1% | nla | 48% | 52% | 89% | 205% | 58 % | 58% | Palo Alto, US | nla | nla | nfa | nla | nfa | nla | ~nla | nla"
OrderStorm Inc:,"Jul 28, 2025 12.57 PM",save | hide,specializing in unified commerce solutions_. OrderStorm is a technology company orderstorm com Littleton olderstorm-inc-,orderstorm.com,51-200,Venture Capital,2008,,0.8,Series,Rockies Venture Club,"Mar 4, 2019",,,,"save | hide | OrderStorm Inc: | Jul 28,2025 12.57 PM | specializing in unified commerce solutions_. | OrderStorm is a technology company | orderstorm com | 51-200 | United States | (USA) | Colorado | Littleton | olderstorm-inc- | Load contacts | ntacts | Venture Capital | 2008 | 0.8 | 0.5 | Mar 4, 2019 | Series | Rockies Venture Club | nla | Rockies Venture C | nia | nia | nla | nla | nla | nfa | nla | nla | nla | nla | nla | nfa | nfa | nla | nfa | nla | nfa | nla | nfa"
Oro Inc:,"Jul 28, 2025 12.57 PM",save | hide,Oro Inc is eCommerce and CRM solutions. They offer _. software company specializing in oroinc com (USA) olo-inc-,oroinc.com,51-200,Private Equity,2012,,25,,,"1901 Avenue of the Stars; Suite 1900; Los Angeles, California","""15% | 34% | 44%",,,"save | hide | Oro Inc: | Jul 28,2025 12.57 PM | Oro Inc is | eCommerce and CRM solutions. They offer _. | software company specializing in | oroinc com | 51-200 | 121 | (USA) | United States | California | Los Angeles | olo-inc- | Load contacts | ntacts | Private Equity | 2012 | 25 | Jan 18, 2023 | Series B | Highland Europe | nja | Highland Europe | nia | nia | nla | nla | nla | nla | nla | nfa | ""15% | 34% | 44% | nla | nla | 1901 Avenue of the Stars; Suite 1900; Los Angeles, California | 90067,US | nla | nfa | nla | nla | nfa"
Outbuild,"Jul 28, 2025 12.57 PM",save | hide,Outbuild is specializes software company that construction scheduling and:_ San Francisco pl oplannerconstru__.,outbuild.com,51-200,Venture Capital,2021,,14.8,Series,Bgv,"2021 Fillmore St; San Francisco, California 94115, US",9% | 27% | 84% | 84% | 7%,,,"save | hide | Outbuild | Jul 28, 2025 12.57 PM | Outbuild is | specializes | software company that | construction scheduling and:_ | outbuild.com | 51-200 | United States | (USA) | California | San Francisco | pl oplannerconstru__. | Load contacts | ntacts | Venture Capital | 2021 | 14.8 | Nov 11, 2024 | Series | Bgv | nla | Manutara Venture: | nla | nla | nla | nla | 9% | 27% | 84% | 84% | nla | nfa | nfa | 7% | 2021 Fillmore St; San Francisco, California 94115, US | nfa | nfa | nfa | nfa | nfa"
Pando,"Jul 28, 2025 12.57 PM",save | hide,Pando is a technology company specializing in Al-powered supply chain management _ Chicago lirnited piindocorp-private - piindocorp-private-,pando.ai,201-500,Venture Capital,2018,,30,,,"220 N, Green St; Chicago, IL 60607, US",4% | -3% | 3% | 9% | 7% | -24%,,,"save | hide | Pando | Jul 28,2025 12.57 PM | Jul 28, 2025 12.57 PM | Pando is a technology company specializing | in Al-powered supply chain management _ | pando.ai | 201-500 | 277 | United States | (USA) | Illinois | Chicago | lirnited | piindocorp-private - | piindocorp-private- | Load contacts | ntacts | Venture Capital | 2018 | May 2, 2023 | Series B | Chiratae Ventures | nla | nja | Uncorrelated Vent | nla | nia | nla | nia | nla | nja | 30 | nla | nja | 4% | -3% | 3% | 9% | 7% | nfa | nla | nla | nja | nfa | -24% | 220 N, Green St; Chicago, IL 60607,US | 220 N, Green St; Chicago, IL 60607, US | nfa | nla | nla | nja | nla | nfa | nla | nia | nfa | nla"
Parabola,"Jul 28, 2025 12.57 PM",save | hide,~data automation and process management___ SaaS provider specializing San Francisco pilrabola-labs,parabola.io,11-50,Venture Capital,2017,,34.2,Series,Abstract,"San Francisco, CA, US",1% | 17% | 44% | 54% | 51% | 58 % | 100% | 6 %,,,"save | hide | Parabola | Jul 28,2025 12.57 PM | Parabola | ~data automation and process management___ | SaaS provider specializing | parabola.io | 11-50 | United States | (USA) | California | San Francisco | pilrabola-labs | Load contacts | ntacts | Venture Capital | 2017 | 34.2 | Jun 27,2023 | Series | Abstract | nla | Matrix | Angelf | nla | nla | nla | nla | 1% | 17% | 44% | 54% | 51% | 58 % | 100% | 6 % | San Francisco, CA, US | nla | nfa | nla | nla | ~nla"
ParallelDots,"Jul 28, 2025 12.57 PM",hide,specializing retail execution software_ ' technology company Seattle plralleldots,paralleldots.com,51-200,,2017,,6.5,,,"600 Stewart Street;; Suite 300 and 400; Seattle, Washington",0% | ~0% | -0% | 10% | 34% | 146% | 234% | 389%,,,"hide | ParallelDots | Jul 28, 2025 12.57 PM | ParallelDots | specializing | retail execution software_ | ' technology company | paralleldots.com | 51-200 | 338 | United States | (USA) | Washington | Seattle | plralleldots | Load contacts | ntacts | Venture | Capital | 2017 | 6.5 | 4.5 | Mar 24, 2022 | Series A | Btomorrow | 'Ventures | nla | Btomorrow Ventur | nla | nfa | nfa | 35 | nla | 0% | ~0% | -0% | 10% | 34% | 146% | 234% | 389% | nla | 600 Stewart Street;; Suite 300 and 400; Seattle, Washington | 98101,US | nfa | nfa | nfa | nla"
paretos,"Jul 28, 2025 12.57 PM",save | hide,in decision intelligence solutions. It offers AI__. Paretos technology company speciae lizing paretos com Heidelberg pilretosai,paretos.com,51-200,Private Equity,2020,,19.8,Series,Acton Capital,"Palo-Alto Platz 13; Heidelberg, Baden-Wurttemberg 69124,DE",3% | 23% | 52% | 52% | 70% | 431%,,,"save | hide | paretos | Jul 28, 2025 12.57 PM | in decision intelligence solutions. It offers AI__. | Paretos | technology company speciae | lizing | paretos com | 51-200 | Germany | Wurttemberg | Baden - | Heidelberg | pilretosai | Load contacts | ntacts | Private Equity | 2020 | 19.8 | Oct 27, 2024 | Series | Acton Capital | nla | UVC Partners | nla | nla | nla | nla | 3% | 23% | 52% | 52% | 70% | nla | nla | 431% | Palo-Alto Platz 13; Heidelberg, Baden-Wurttemberg 69124,DE | nla | nla | nla | nla | nla"
